Hour,Timestamp,Busyness Predicted,Taxi Zone ID
5,1690776000.0,-0.7491528176543945,166
6,1690779600.0,-0.4000460978666696,166
7,1690783200.0,-0.1548711493853759,166
8,1690786800.0,0.32607587317605163,166
9,1690790400.0,0.45291464701296713,166
10,1690794000.0,0.7541067195862737,166
11,1690797600.0,0.8589387661013271,166
12,1690801200.0,1.1304217567901205,166
13,1690804800.0,1.1616312973556708,166
14,1690808400.0,1.3390855440328697,166
15,1690812000.0,1.4968337666991276,166
16,1690815600.0,1.5160396378163894,166
17,1690819200.0,1.543648077547453,166
18,1690822800.0,1.5124385369819027,166
19,1690826400.0,1.350388999430008,166
20,1690830000.0,1.0164869276101147,166
21,1690833600.0,0.8134248527765665,166
22,1690837200.0,1.0518977524825657,166
23,1690840800.0,0.841348434776485,166
0,1690758000.0,-0.7453516556624366,170
1,1690761600.0,-0.8430815310872527,170
2,1690765200.0,-0.8657884724602654,170
3,1690768800.0,-0.841681102984952,170
4,1690772400.0,-0.9028998171712239,170
5,1690776000.0,-0.8844924711306033,170
6,1690779600.0,-0.8254922827771366,170
7,1690783200.0,-0.7502924424173708,170
8,1690786800.0,-0.6761304951773056,170
9,1690790400.0,-0.6307179282532005,170
10,1690794000.0,-0.6333174074784105,170
11,1690797600.0,-0.578800742067433,170
12,1690801200.0,-0.5091794592673591,170
13,1690804800.0,-0.4378576566287782,170
14,1690808400.0,-0.3851415416350443,170
15,1690812000.0,-0.3210219406654364,170
16,1690815600.0,-0.3541320622269657,170
17,1690819200.0,-0.3251900616796696,170
18,1690822800.0,-0.34642970766431375,170
19,1690826400.0,-0.3728950450646993,170
20,1690830000.0,-0.5202767581482444,170
21,1690833600.0,-0.5193559233126559,170
22,1690837200.0,-0.573231237763146,170
23,1690840800.0,-0.6412319127431365,170
0,1690758000.0,0.025083861760216618,186
1,1690761600.0,-0.3404278729401697,186
2,1690765200.0,-0.44508595519803584,186
3,1690768800.0,-0.7318947334300482,186
4,1690772400.0,-0.7416505242492146,186
5,1690776000.0,-0.5223834956604769,186
6,1690779600.0,0.5359400273636299,186
7,1690783200.0,0.7256980352253246,186
8,1690786800.0,1.0774055500601791,186
9,1690790400.0,0.9185569910278273,186
10,1690794000.0,1.065301850033155,186
11,1690797600.0,1.2088457305189388,186
12,1690801200.0,1.1621314502493492,186
13,1690804800.0,1.1672330097648722,186
14,1690808400.0,1.3126774712466343,186
15,1690812000.0,1.770317368962637,186
16,1690815600.0,1.7623149226637782,186
17,1690819200.0,1.7508114061091684,186
18,1690822800.0,1.847240884010418,186
19,1690826400.0,1.7334060854091486,186
20,1690830000.0,1.352289580425987,186
21,1690833600.0,0.880645401686983,186
22,1690837200.0,0.4454123536077873,186
23,1690840800.0,0.5083315876325666,186
0,1690758000.0,-0.8995988080729442,202
1,1690761600.0,-0.8766918055424605,202
2,1690765200.0,-0.8457823567131176,202
3,1690768800.0,-0.8407808277763305,202
4,1690772400.0,-0.9052005204821457,202
5,1690776000.0,-0.9138031502534186,202
6,1690779600.0,-0.9214847374170191,202
7,1690783200.0,-0.91730422050917,202
8,1690786800.0,-0.9109022634700831,202
9,1690790400.0,-0.9087015907378969,202
10,1690794000.0,-0.9126027833085908,202
11,1690797600.0,-0.9117025080999692,202
12,1690801200.0,-0.9095018353677826,202
13,1690804800.0,-0.896697921289608,202
14,1690808400.0,-0.897398135340758,202
15,1690812000.0,-0.8943972179786858,202
16,1690815600.0,-0.8913963006166137,202
17,1690819200.0,-0.9000989609666235,202
18,1690822800.0,-0.8764917443849889,202
19,1690826400.0,-0.878592386538439,202
20,1690830000.0,-0.8790925394321177,202
21,1690833600.0,-0.8830937625815479,202
22,1690837200.0,-0.8755914691763674,202
23,1690840800.0,-0.8836939460539617,202
0,1690758000.0,-0.8054584650241564,209
1,1690761600.0,-0.8431815616659885,209
2,1690765200.0,-0.8859946493648839,209
3,1690768800.0,-0.8410809195125377,209
4,1690772400.0,-0.9133029973597404,209
5,1690776000.0,-0.9156037006706632,209
6,1690779600.0,-0.8972981047620227,209
7,1690783200.0,-0.8472705446571006,209
8,1690786800.0,-0.8640879526217567,209
9,1690790400.0,-0.8271414532937088,209
10,1690794000.0,-0.8156379367390992,209
11,1690797600.0,-0.7867643152590317,209
12,1690801200.0,-0.7208441638721805,209
13,1690804800.0,-0.7186434911399943,209
14,1690808400.0,-0.7365489647336912,209
15,1690812000.0,-0.6906349290939877,209
16,1690815600.0,-0.7137419927819435,209
17,1690819200.0,-0.7155425431991868,209
18,1690822800.0,-0.6686282017721257,209
19,1690826400.0,-0.6668276513548821,209
20,1690830000.0,-0.6698285687169543,209
21,1690833600.0,-0.6798316265905282,209
22,1690837200.0,-0.6827325133738649,209
23,1690840800.0,-0.7237139418846588,209
0,1690758000.0,-0.5070007351006656,211
1,1690761600.0,-0.6957364886095103,211
2,1690765200.0,-0.8086710120021584,211
3,1690768800.0,-0.8261763632809132,211
4,1690772400.0,-0.9053005510608814,211
5,1690776000.0,-0.9108022328913474,211
6,1690779600.0,-0.8797376300862781,211
7,1690783200.0,-0.8578860567401417,211
8,1690786800.0,-0.804869850010201,211
9,1690790400.0,-0.63331740747841,211
10,1690794000.0,-0.4534456433995565,211
11,1690797600.0,-0.32802408117693815,211
12,1690801200.0,-0.22069127019349144,211
13,1690804800.0,-0.2076872949578455,211
14,1690808400.0,-0.2157897718354403,211
15,1690812000.0,-0.2324948784843085,211
16,1690815600.0,-0.2258928602877498,211
17,1690819200.0,-0.22159154540211304,211
18,1690822800.0,-0.2535013000188134,211
19,1690826400.0,-0.22259185118947053,211
20,1690830000.0,-0.3932386439211564,211
21,1690833600.0,-0.41695126567300883,211
22,1690837200.0,-0.4503614789707454,211
